ticketmaster	Ticketmaster	https://www.ticketmaster.com/	Core comparison	Hybrid	Sports|concerts|theater|family	core	Check applicable primary and resale offers separately.		A
axs-us-axs-official-resale	AXS US / AXS Official Resale	https://www.axs.com/us	Core comparison	Hybrid	Sports|concerts|theater	core	Follow event-authorized primary and official resale; distinguish separate AXS Marketplace inventory.		A
seatgeek	SeatGeek	https://seatgeek.com/	Core comparison	Hybrid	Sports|concerts|theater	core	Check for every broadly resold event; may also be the event's primary seller.		A
stubhub	StubHub	https://www.stubhub.com/	Core comparison	Resale	Sports|concerts|theater	core	Check for every broadly resold event; event-level access still untested.		S
vivid-seats	Vivid Seats	https://www.vividseats.com/	Core comparison	Resale	Sports|concerts|theater	core	Check for every broadly resold event.		A
tickpick	TickPick	https://www.tickpick.com/	Core comparison	Resale	Sports|concerts|theater	core	Check for every broadly resold event.		A
gametime	Gametime	https://gametime.co/	Core comparison	Resale	Sports|concerts|comedy|theater	core	Check for every broadly resold event; verify delivery cutoff for near-start purchases.	https://gametime.co/venues/	A
ticketiq	TicketIQ	https://www.ticketiq.com/	Extended comparison	Resale/comparison	Sports|concerts|theater	extended	Check event coverage and final payable price.		A
ticketnetwork	TicketNetwork	https://www.ticketnetwork.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Compare checkout offers; underlying inventory can overlap other storefronts.		A
ticketsmarter	TicketSmarter	https://www.ticketsmarter.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Check matching event and quantity.		A
ticketcity	TicketCity	https://www.ticketcity.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Include for college sports and premium sports as well as general inventory.		A
megaseats	MegaSeats	https://www.megaseats.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Compare payable total, including applicable conditions.		A
gotickets	GoTickets	https://gotickets.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Separate candidate offers from claims about seller quality; vet before recommendation.		A
soldout-com	SOLDOUT.COM	https://www.soldout.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Include order-level charges in comparison.		A
ticket-club	Ticket Club	https://www.ticketclub.com/	Extended comparison	Membership resale	Sports|concerts|theater	extended	Include incremental membership cost unless user already has access.		A
scorebig	ScoreBig	https://www.scorebig.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Check final conditions and inventory overlap.		A
ticket-liquidator	Ticket Liquidator	https://www.ticketliquidator.com/	Extended comparison	Resale	Sports|concerts|theater	extended	Do not count overlapping inventory as additional seats.		A
